Date,jared_sleep_start,jared_total_sleep,jared_sleep_end,day,bedtime_start_oura,bedtime_end_oura,sleeptime_start_oura,sleeptime_end_oura,deep_sleep_duration_oura,awake_time_filtered_phases,awake_time_filtered_subtraction,light_sleep_duration_oura,rem_sleep_duration_oura,total_sleep_duration_oura,bedtime_start_ultrahuman,bedtime_end_ultrahuman,sleeptime_start_ultrahuman,sleeptime_end_ultrahuman,deep_sleep_duration_ultrahuman,awake_time_filtered,light_sleep_duration_ultrahuman,rem_sleep_duration_ultrahuman,total_sleep_duration_ultrahuman,sleep_start_error_abs_oura,sleep_start_error_abs_ultrahuman,total_sleep_error_abs_oura,total_sleep_error_abs_ultrahuman,sleep_end_error_abs_oura,sleep_end_error_abs_ultrahuman,sleep_start_error_oura,sleep_start_error_ultrahuman,total_sleep_error_oura,total_sleep_error_ultrahuman,sleep_end_error_oura,sleep_end_error_ultrahuman
2024-06-20,70,330,420,2024-06-20,64,429,74,424,81,5,8,169,90,341,77,439,82,434,80,0,210,65,355,4,12,11,25,4,14,4,12,11,25,4,14
2024-06-22,-15,378,420,2024-06-22,-3,430,-3,432,107,20,27,218,83,408,-3,430,-3,427,82,10,238,95,415,12,12,30,37,12,7,12,12,30,37,12,7
2024-06-23,40,444,555,2024-06-23,40,557,50,560,123,50,46,235,105,464,47,589,52,584,87,19,309,119,515,10,12,20,71,5,29,10,12,20,71,5,29
2024-06-25,-70,501,455,2024-06-25,-73,469,-63,462,109,35,37,263,114,487,-75,472,-70,467,55,46,306,131,492,7,0,14,9,7,12,7,0,-14,-9,7,12
2024-06-27,-90,438,420,2024-06-27,-100,427,-95,415,89,60,58,291,71,452,-88,420,-83,415,71,29,274,122,467,5,7,14,29,5,5,-5,7,14,29,-5,-5
2024-06-28,-50,273,310,2024-06-28,-47,322,-42,323,98,40,42,191,33,322,-34,330,-34,327,98,15,207,40,345,8,16,49,72,13,17,8,16,49,72,13,17
2024-06-29,25,423,470,2024-06-29,23,480,38,473,102,30,24,221,87,411,30,489,35,484,69,10,252,119,440,13,10,12,17,3,14,13,10,-12,17,3,14
2024-06-30,-10,441,460,2024-06-30,-12,478,-7,458,102,15,24,205,133,441,1,494,6,489,74,19,281,108,463,3,16,0,22,2,29,3,16,0,22,-2,29
2024-07-01,-70,441,400,2024-07-01,-71,398,-66,399,90,25,25,267,81,439,-67,441,-62,436,81,15,279,122,482,4,8,2,41,1,36,4,8,-2,41,-1,36
2024-07-02,30,387,465,2024-07-02,26,469,46,471,70,25,30,240,85,395,36,485,41,480,18,20,278,121,417,16,11,8,30,6,15,16,11,8,30,6,15
